material_id,formation_energy_per_atom,nsites
mp-21266,-2.546615575267857,24
mp-27724,-0.645372425634919,6
mp-1202733,-2.266858759642855,42
mp-7424,-0.275338095833333,6
mp-20517,-0.263228629374996,16
mp-1190529,-0.22070651291666302,24
mp-1214755,-0.19524489249999502,14
mp-2049185,-0.205257270833328,6
mp-567164,-0.429055083749998,4
mp-540668,-0.7289695282638881,48
mp-27245,-0.858403642777776,36
mp-27349,-2.523463705740736,36
mp-1228703,-0.6995956877380931,14
mp-1214789,-0.194957051874998,24
mp-561226,-2.343432184280303,44
mp-7832,-0.35971011500000205,8
mp-1113,-0.24568312916666402,6
mp-122,0.0,2
mp-27286,-0.830284046590908,44
mp-13910,-0.332178010666667,5
mp-7882,-0.397887482666665,5
mp-18501,-0.952725886833328,20
mp-30023,-2.295567081363635,22
mp-1207061,-0.37513931499999903,5
mp-570482,-0.39657781400000003,20
mp-1228740,-1.5790870441964242,14
mp-5506,-0.269387471999998,20
mp-28505,-1.140490400238092,14
mp-14501,-0.657548921818193,22
mp-1105233,-2.188986189444444,18
mp-571350,-0.778867536000001,10
mp-568113,-0.812224483000002,5
mp-4109,-0.691766348999999,5
mp-28719,-2.209939348181815,22
mp-9297,-1.445636781428571,14
mp-1228679,-0.42489049060606005,11
mp-1203559,-0.450125838199999,50
mp-2647015,-0.5125113818939391,44
mp-12073,-0.5000045856666671,5
mp-540659,-3.096925162619045,42
mp-7349,-0.46725112366666605,5
mp-30126,-1.273449396190475,14
mp-570823,-0.8903812985995351,18
mp-12927,-1.107963756,10
mp-571599,-0.642472992999996,10
mp-1190125,-2.104656756363634,22
mp-554626,-1.167833141111111,18
mp-1104609,-0.43572151500000106,14
mp-8281,-0.614831377000001,5
mp-1069712,-0.336708437999999,5
mp-8279,-0.5651984778571381,5
mp-8150,-0.6039184979999991,5
mp-1190390,-1.110697699090904,22
mp-20563,-0.6017236930000011,5
mp-1070253,-0.36836408399999504,5
mp-1029457,-0.49946675600000107,10
mp-1195776,-0.224965051363635,44
mp-1229162,-1.132555306666663,27
mp-14786,-0.21444591923077802,13
mp-14785,-0.285302099120877,13
mp-9247,-0.5093311849999991,5
mp-7374,-1.616588649999994,10
mp-568474,-0.46465449765306405,14
mp-5970,-1.126581507999994,20
mp-1080702,-0.5424659430000021,10
mp-1193410,-2.4205534197619,28
mp-1193797,-2.239951934672619,28
mp-17927,-1.778846113928569,28
mp-1192439,-2.424812620714284,28
mp-1192805,-2.236903161696428,28
mp-17928,-1.767831322023807,28
mp-2903350,-0.651923141999998,10
mp-568961,-0.559460133999999,5
mp-19154,-2.089097835714285,28
mp-4883,-0.811679707857145,5
mp-1189647,-0.31483596705882305,17
mp-1183302,-0.6460903610000001,20
mp-1206799,-0.5020633934999971,5
mp-1105728,-0.655365195857142,20
mp-504985,-0.8136196450000021,20
mp-29938,-0.604923376000002,40
mp-7841,-1.36306374919643,14
mp-38117,-1.025832131666665,7
mp-1194410,-2.254198865624996,28
mp-1182773,-1.809475183095239,28
mp-642304,-0.369288792941175,17
mp-27810,-0.49725449949999906,20
mp-1228646,-0.490121752,5
mp-27809,-0.5029075863571421,20
mp-10698,-0.7417220799999961,5
mp-30050,-0.47043391800000306,10
mp-625888,-1.35750825090909,22
mp-626973,-2.057213571,40
mp-1193583,-2.420139293214281,28
mp-17273,-1.77085865702381,28
mp-30991,-1.546153766666666,18
mp-574176,-0.546454538166676,20
mp-1105940,-0.557203344523808,20
mp-1214750,-0.662174580666669,5
mp-21183,-1.017688293571426,14
mp-674187,-1.7087357877777771,27
mp-984052,-2.415832439761902,28
mp-1192674,-2.217454517529764,28
mp-1192634,-1.737789246785714,28
mp-8280,-0.9285784290000021,5
mp-29209,-0.5920732000000011,5
mp-7876,-0.45907881600000106,5
mp-8278,-0.9180718758571421,5
mp-20452,-0.36364582900000003,10
mp-9567,-0.8334507839999981,5
mp-7875,-0.295223082000001,5
mp-29622,-0.47191740049999603,20
mp-15608,-0.664856364172413,5
mp-19857,-0.761130211029561,5
mp-4396,-1.590176572222223,36
mp-866306,-2.375684078571425,28
mp-17236,-0.311095251842107,19
mp-568280,-0.652883191,5
mp-9473,-0.7742038698571421,5
mp-571420,-0.654173206938774,7
mp-1104130,-0.473823812653054,14
mp-28895,-0.6639766412244891,7
mp-11169,-0.845635251857148,5
mp-559939,-2.980959077976188,36
mp-12056,-0.670666309857142,5
mp-8236,-0.796965229857145,5
mp-8583,-0.9543397898571421,5
mp-4484,-0.9410360498571411,5
mp-759541,-1.5184770292857142,14
mp-28967,-1.124628872142858,14
mp-30432,-0.24267193799999,20
mp-1106056,-0.300392630588237,17
mp-9976,-0.46456810823529204,17
mp-9127,-2.376879317777779,9
mp-1079967,-0.880232587999996,10
mp-17501,-1.642161534523812,28
mp-567771,-1.313510195333333,15
mp-14561,-0.825338688500002,20
mp-27388,-0.527597261999999,10
mp-18655,-0.8417009499999991,20
mp-1194376,-2.397762902500001,28
mp-1193757,-2.236313439196427,28
mp-17786,-1.7951484220238112,28
mp-1190471,-0.30301676650000003,20
mp-1193223,-2.42091323940476,28
mp-17153,-1.786948157142854,28
mp-1193579,-2.421872578928573,28
mp-1193169,-2.229560272410717,28
mp-18196,-1.755499247738097,28
mp-29036,-2.4151363792857152,28
mp-1193099,-2.240760022410714,28
mp-17872,-1.787762902023809,28
mp-7427,-0.6732129104999991,20
